cell_id,split,n,p_normal,p_perm
DLinear_ETTm2_h192_none_s2021_det,val,11329,0.9174973794345105,0.9180409795102449
DLinear_ETTh2_h336_none_s2023_shuf,val,2545,0.47932493233638884,0.48875562218890556
DLinear_ETTm1_h336_fredf_s2023_shuf,val,11185,0.08801157815595878,0.09495252373813093
DLinear_ETTm1_h336_fredf_s2021_shuf,test,11185,0.6341434678149368,0.6166916541729135
DLinear_Exchange_h720_revin_s2021_det,val,41,0.9688776837506058,0.9655172413793104
DLinear_Exchange_h720_san_lite_s2021_det,val,41,0.12664183068908208,0.1329335332333833
DLinear_ETTm2_h336_revin_s2022_shuf,test,11185,0.09696454476011301,0.0879560219890055
DLinear_ETTh1_h336_revin_s2023_det,val,2545,0.8725260433849882,0.8775612193903048
DLinear_ETTm2_h336_none_s2023_det,test,11185,0.2872637397253198,0.2798600699650175
DLinear_ETTh1_h96_none_s2023_det,test,2785,0.14194930525313004,0.13793103448275862
DLinear_ETTm1_h336_none_s2021_det,test,11185,0.24561351744139964,0.22638680659670166
DLinear_ETTm1_h336_none_s2022_shuf,test,11185,0.049508554564143666,0.0544727636181909
DLinear_ETTm2_h96_fredf_s2021_det,val,11425,0.5256015102821068,0.519240379810095
DLinear_ETTm2_h96_san_lite_s2023_shuf,test,11425,0.303155601813604,0.31134432783608196
iTransformer_Exchange_h96_san_lite_s2021_det,val,665,0.8206386410780542,0.8135932033983009
DLinear_ETTh1_h336_fredf_s2022_shuf,val,2545,0.7213304589141516,0.7176411794102948
DLinear_ETTh2_h96_none_s2022_det,test,2785,0.7584372993994659,0.7386306846576711
DLinear_ILI_h60_revin_s2021_det,val,38,0.05050609106048125,0.059470264867566215
DLinear_ETTm2_h336_none_s2022_det,val,11185,0.48946700897564704,0.48575712143928035
iTransformer_ETTh1_h336_none_s2021_det,test,2545,0.38428480134264476,0.38780609695152424
DLinear_ETTh1_h96_san_lite_s2021_shuf,test,2785,0.2730343100319451,0.2613693153423288
DLinear_ETTm1_h336_san_lite_s2023_shuf,val,11185,0.7530318967154563,0.7511244377811095
DLinear_ETTh1_h336_fredf_s2021_det,val,2545,0.46810001539141566,0.4547726136931534
DLinear_ETTm2_h96_revin_s2023_shuf,test,11425,0.47313536460114236,0.44577711144427784
iTransformer_ETTm1_h336_san_lite_s2021_det,test,11185,0.4463930348031151,0.4307846076961519
DLinear_ETTm2_h336_san_lite_s2023_shuf,test,11185,0.8745317072705301,0.8735632183908046
PatchTST_ETTm1_h336_san_lite_s2021_det,test,11185,0.09678994778404837,0.09495252373813093
DLinear_ETTh1_h336_san_lite_s2023_shuf,test,2545,0.016225277110730758,0.01649175412293853
PatchTST_ETTm1_h96_fredf_s2021_det,test,11425,0.4569548385507579,0.456271864067966
DLinear_ETTh1_h336_none_s2023_shuf,test,2545,0.9985622539357133,0.9985007496251874
DLinear_ETTm2_h336_fredf_s2022_shuf,val,11185,0.0015876743938582107,0.0014992503748125937
DLinear_Weather_h96_san_lite_s2021_det,val,5175,0.6663769400567732,0.6381809095452274
DLinear_Weather_h96_none_s2021_det,val,5175,0.278967650884075,0.2538730634682659
DLinear_ETTm1_h96_fredf_s2023_shuf,test,11425,0.839887459248712,0.8365817091454273
DLinear_ETTm2_h336_none_s2021_det,val,11185,0.5442036410624814,0.552223888055972
DLinear_ETTh2_h336_san_lite_s2021_det,test,2545,0.7623049941917697,0.7656171914042978
DLinear_ETTh1_h192_fredf_s2021_det,test,2689,0.46598711675786725,0.4682658670664668
DLinear_ETTm2_h96_fredf_s2022_shuf,val,11425,0.8973966676910716,0.9045477261369316
DLinear_ETTm2_h336_none_s2023_shuf,test,11185,0.5877997711343769,0.5782108945527237
PatchTST_Weather_h336_fredf_s2021_det,val,4935,0.09991828139969033,0.1054472763618191
DLinear_ETTh2_h96_fredf_s2022_det,test,2785,0.2980486685206689,0.2868565717141429
DLinear_ETTm1_h192_revin_s2021_det,test,11329,0.35143004779528,0.36531734132933535
DLinear_ETTm2_h96_none_s2022_shuf,val,11425,0.8049006483604535,0.7981009495252374
DLinear_ETTh1_h96_none_s2021_shuf,test,2785,0.15265645363871272,0.14842578710644677
PatchTST_Exchange_h96_san_lite_s2021_det,val,665,0.9962039875240719,0.9995002498750625
PatchTST_Exchange_h336_fredf_s2021_det,val,425,0.0397431490373813,0.038980509745127435
iTransformer_Weather_h96_none_s2021_det,test,10444,0.10021796828691176,0.10194902548725637
DLinear_Weather_h192_revin_s2021_det,val,5079,0.7715331609676489,0.7586206896551724
DLinear_ILI_h48_fredf_s2021_det,val,50,0.27936191257470233,0.27786106946526734
PatchTST_ETTm2_h336_fredf_s2021_det,val,11185,0.9100057440756483,0.9085457271364318
DLinear_Exchange_h96_fredf_s2021_det,test,1422,0.23656221424884194,0.2273863068465767
iTransformer_Weather_h336_san_lite_s2021_det,val,4935,0.15345056917506045,0.1634182908545727
iTransformer_ETTm1_h96_fredf_s2021_det,val,11425,0.08583078694234036,0.10444777611194403
DLinear_ETTh2_h720_san_lite_s2021_det,test,2161,0.7833890275118747,0.7851074462768616
PatchTST_ILI_h48_san_lite_s2021_det,test,146,0.6094065618016444,0.5987006496751625
PatchTST_ETTm1_h96_san_lite_s2021_det,test,11425,0.45930441780543874,0.4572713643178411
DLinear_ILI_h24_none_s2021_det,val,74,0.45668781616244625,0.45577211394302847
DLinear_ETTm2_h336_fredf_s2023_shuf,val,11185,0.04886305137775338,0.05247376311844078
DLinear_ETTm2_h96_san_lite_s2022_det,test,11425,0.750295353676986,0.743128435782109
DLinear_ETTh1_h336_none_s2022_shuf,test,2545,0.04193450322508209,0.03798100949525238
DLinear_Weather_h192_revin_s2021_det,test,10348,0.9542178008658243,0.9575212393803099
DLinear_ILI_h48_none_s2021_det,val,50,0.07687825561413313,0.06196901549225387
DLinear_ETTm1_h96_none_s2021_det,test,11425,0.9709477218988429,0.9740129935032483
DLinear_ETTm1_h336_san_lite_s2023_shuf,test,11185,0.9771742622179087,0.9800099950024987
DLinear_ETTm2_h96_san_lite_s2021_det,test,11425,0.6555706025196446,0.6316841579210395
PatchTST_ETTm2_h96_san_lite_s2021_det,test,11425,0.18284795846579782,0.18340829585207397
DLinear_ILI_h24_fredf_s2021_det,val,74,0.6318147914133185,0.6106946526736632
PatchTST_ETTh2_h96_none_s2021_det,val,2785,0.8429004039630852,0.848575712143928
DLinear_ETTm1_h336_fredf_s2022_shuf,test,11185,0.5779992867651602,0.5722138930534733
DLinear_ETTh1_h96_fredf_s2023_shuf,test,2785,0.6905367654817657,0.6856571714142928
DLinear_ETTh2_h720_none_s2021_det,val,2161,0.1223954079669417,0.13893053473263367
DLinear_ETTm2_h336_san_lite_s2022_shuf,val,11185,0.35162839574576904,0.3403298350824588
