cell_id,n,kind,param,p,reject
PatchTST_ETTm2_h96_none_s2021_det,11425,block,8.0,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,block,32.0,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,block,128.0,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,block,512.0,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,partial,0.05,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,partial,0.1,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,partial,0.25,0.0,1
PatchTST_ETTm2_h96_none_s2021_det,11425,partial,0.5,2.3390911024960347e-174,1
PatchTST_ETTm2_h96_none_s2021_det,11425,partial,1.0,0.9135643191338623,0
DLinear_ETTm1_h96_san_lite_s2021_det,11425,block,8.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,block,32.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,block,128.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,block,512.0,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,partial,0.05,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,partial,0.1,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,partial,0.25,0.0,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,partial,0.5,5.422555232333875e-179,1
DLinear_ETTm1_h96_san_lite_s2021_det,11425,partial,1.0,0.10050312739554934,0
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,partial,0.25,5.651929002434305e-181,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,partial,0.5,2.04265306732995e-25,1
DLinear_ETTh2_h96_fredf_s2023_shuf,2785,partial,1.0,0.17883249318792832,0
DLinear_ETTm1_h192_fredf_s2021_det,11329,block,8.0,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,block,32.0,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,block,128.0,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,block,512.0,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,partial,0.05,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,partial,0.1,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,partial,0.25,0.0,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,partial,0.5,6.486821378842312e-142,1
DLinear_ETTm1_h192_fredf_s2021_det,11329,partial,1.0,0.43959783168036715,0
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,partial,0.25,2.83269521297225e-212,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,partial,0.5,3.8038530802484084e-50,1
DLinear_ETTh2_h96_san_lite_s2021_shuf,2785,partial,1.0,0.8607487359889106,0
iTransformer_ETTm1_h96_none_s2021_det,11425,block,8.0,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,block,32.0,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,block,128.0,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,block,512.0,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,partial,0.05,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,partial,0.1,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,partial,0.25,0.0,1
iTransformer_ETTm1_h96_none_s2021_det,11425,partial,0.5,1.9924198578842932e-181,1
iTransformer_ETTm1_h96_none_s2021_det,11425,partial,1.0,0.1653371969879634,0
iTransformer_ETTm2_h336_fredf_s2021_det,11185,block,8.0,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,block,32.0,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,block,128.0,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,block,512.0,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,partial,0.05,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,partial,0.1,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,partial,0.25,0.0,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,partial,0.5,1.7877757005155177e-147,1
iTransformer_ETTm2_h336_fredf_s2021_det,11185,partial,1.0,0.6222826538102648,0
DLinear_ETTm2_h192_none_s2021_det,11329,block,8.0,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,block,32.0,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,block,128.0,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,block,512.0,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,partial,0.05,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,partial,0.1,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,partial,0.25,0.0,1
DLinear_ETTm2_h192_none_s2021_det,11329,partial,0.5,1.3450748753777396e-165,1
DLinear_ETTm2_h192_none_s2021_det,11329,partial,1.0,0.08027246224313322,0
DLinear_ETTm2_h336_revin_s2023_shuf,11185,block,8.0,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,block,32.0,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,block,128.0,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,block,512.0,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,partial,0.05,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,partial,0.1,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,partial,0.25,0.0,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,partial,0.5,2.616424987384245e-162,1
DLinear_ETTm2_h336_revin_s2023_shuf,11185,partial,1.0,0.4153679336683356,0
DLinear_ETTm2_h336_none_s2021_shuf,11185,block,8.0,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,block,32.0,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,block,128.0,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,block,512.0,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,partial,0.05,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,partial,0.1,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,partial,0.25,0.0,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,partial,0.5,7.710587444970254e-117,1
DLinear_ETTm2_h336_none_s2021_shuf,11185,partial,1.0,0.2195924949553117,0
DLinear_ETTm2_h96_revin_s2023_shuf,11425,block,8.0,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,block,32.0,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,block,128.0,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,block,512.0,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,partial,0.05,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,partial,0.1,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,partial,0.25,0.0,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,partial,0.5,2.5914105614285344e-175,1
DLinear_ETTm2_h96_revin_s2023_shuf,11425,partial,1.0,0.04960145908419787,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,block,8.0,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,block,32.0,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,block,128.0,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,block,512.0,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,partial,0.05,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,partial,0.1,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,partial,0.25,0.0,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,partial,0.5,7.514317972685995e-153,1
DLinear_ETTm2_h96_san_lite_s2022_shuf,11425,partial,1.0,0.7838492218093998,0
PatchTST_Exchange_h336_fredf_s2021_det,425,block,8.0,6.885731442533313e-72,1
PatchTST_Exchange_h336_fredf_s2021_det,425,block,32.0,2.7862619598104646e-89,1
PatchTST_Exchange_h336_fredf_s2021_det,425,block,128.0,8.486668982753508e-94,1
PatchTST_Exchange_h336_fredf_s2021_det,425,partial,0.05,3.83153637076313e-78,1
PatchTST_Exchange_h336_fredf_s2021_det,425,partial,0.1,1.2035185789785047e-62,1
PatchTST_Exchange_h336_fredf_s2021_det,425,partial,0.25,4.854071357201556e-35,1
PatchTST_Exchange_h336_fredf_s2021_det,425,partial,0.5,9.745237716070782e-06,1
PatchTST_Exchange_h336_fredf_s2021_det,425,partial,1.0,0.08747993703956741,0
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,block,8.0,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,block,32.0,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,block,128.0,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,block,512.0,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,partial,0.05,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,partial,0.1,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,partial,0.25,0.0,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,partial,0.5,4.0810725951373483e-165,1
DLinear_ETTm2_h336_fredf_s2022_shuf,11185,partial,1.0,0.6290154355530089,0
DLinear_ETTm2_h336_revin_s2021_shuf,11185,block,8.0,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,block,32.0,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,block,128.0,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,block,512.0,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,partial,0.05,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,partial,0.1,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,partial,0.25,0.0,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,partial,0.5,1.454481160488749e-162,1
DLinear_ETTm2_h336_revin_s2021_shuf,11185,partial,1.0,0.45528877116846755,0
DLinear_ETTh1_h336_none_s2021_shuf,2545,block,8.0,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,block,32.0,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,block,128.0,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,block,512.0,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,partial,0.05,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,partial,0.1,0.0,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,partial,0.25,4.130027551917226e-169,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,partial,0.5,2.5261702065121635e-46,1
DLinear_ETTh1_h336_none_s2021_shuf,2545,partial,1.0,0.22279683577898768,0
DLinear_ETTm2_h96_fredf_s2023_det,11425,block,8.0,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,block,32.0,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,block,128.0,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,block,512.0,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,partial,0.05,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,partial,0.1,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,partial,0.25,0.0,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,partial,0.5,9.40901759890241e-163,1
DLinear_ETTm2_h96_fredf_s2023_det,11425,partial,1.0,0.6901197861612485,0
DLinear_ETTh2_h96_fredf_s2022_det,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,partial,0.25,8.266662690499629e-178,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,partial,0.5,1.461120672174849e-34,1
DLinear_ETTh2_h96_fredf_s2022_det,2785,partial,1.0,0.9822803677185332,0
DLinear_Weather_h336_none_s2021_det,4935,block,8.0,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,block,32.0,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,block,128.0,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,block,512.0,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,partial,0.05,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,partial,0.1,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,partial,0.25,0.0,1
DLinear_Weather_h336_none_s2021_det,4935,partial,0.5,4.1997851758845876e-73,1
DLinear_Weather_h336_none_s2021_det,4935,partial,1.0,0.44045858464278353,0
DLinear_ETTm1_h96_revin_s2022_det,11425,block,8.0,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,block,32.0,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,block,128.0,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,block,512.0,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,partial,0.05,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,partial,0.1,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,partial,0.25,0.0,1
DLinear_ETTm1_h96_revin_s2022_det,11425,partial,0.5,3.2203477943177323e-160,1
DLinear_ETTm1_h96_revin_s2022_det,11425,partial,1.0,0.4253256021142383,0
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,block,8.0,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,block,32.0,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,block,128.0,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,block,512.0,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,partial,0.05,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,partial,0.1,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,partial,0.25,0.0,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,partial,0.5,1.3801103641577882e-171,1
DLinear_ETTm1_h336_fredf_s2022_shuf,11185,partial,1.0,0.6600843722383501,0
iTransformer_ETTh1_h336_fredf_s2021_det,2545,block,8.0,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,block,32.0,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,block,128.0,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,block,512.0,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,partial,0.05,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,partial,0.1,0.0,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,partial,0.25,9.506849071557457e-196,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,partial,0.5,2.2794534132850562e-34,1
iTransformer_ETTh1_h336_fredf_s2021_det,2545,partial,1.0,0.9702329091147829,0
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,partial,0.25,2.7260477111277545e-216,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,partial,0.5,5.7120745025829307e-33,1
DLinear_ETTh2_h96_fredf_s2022_shuf,2785,partial,1.0,0.18332011089572142,0
PatchTST_ETTh1_h336_none_s2021_det,2545,block,8.0,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,block,32.0,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,block,128.0,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,block,512.0,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,partial,0.05,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,partial,0.1,0.0,1
PatchTST_ETTh1_h336_none_s2021_det,2545,partial,0.25,2.5586066746470094e-172,1
PatchTST_ETTh1_h336_none_s2021_det,2545,partial,0.5,5.054445702759786e-34,1
PatchTST_ETTh1_h336_none_s2021_det,2545,partial,1.0,0.033518109062421406,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,partial,0.25,2.0673834250595466e-201,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,partial,0.5,1.002955464207598e-40,1
DLinear_ETTh2_h96_san_lite_s2021_det,2785,partial,1.0,0.7651407333898257,0
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,block,8.0,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,block,32.0,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,block,128.0,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,block,512.0,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,partial,0.05,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,partial,0.1,0.0,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,partial,0.25,1.583395331142849e-207,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,partial,0.5,5.552703287756912e-40,1
DLinear_ETTh2_h96_fredf_s2021_shuf,2785,partial,1.0,0.5176923647534287,0
DLinear_ETTh1_h336_fredf_s2021_det,2545,block,8.0,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,block,32.0,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,block,128.0,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,block,512.0,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,partial,0.05,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,partial,0.1,0.0,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,partial,0.25,4.353582544196035e-163,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,partial,0.5,6.088687514960938e-42,1
DLinear_ETTh1_h336_fredf_s2021_det,2545,partial,1.0,0.6083507803767303,0
DLinear_ETTh1_h336_none_s2022_shuf,2545,block,8.0,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,block,32.0,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,block,128.0,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,block,512.0,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,partial,0.05,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,partial,0.1,0.0,1
DLinear_ETTh1_h336_none_s2022_shuf,2545,partial,0.25,1.3732177599363956e-160,1
