cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,2021,deterministic,val,2689,index_order,0.9995784858873298,51.879350374017186,0.0,0.019274537990314936,1
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,2021,deterministic,val,2689,full_permutation,0.041900298599492354,2.1931691659876438,0.014147596598633974,0.019274537990314936,1
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,2021,deterministic,test,2689,index_order,0.9987104848552066,51.86136349530757,0.0,0.019264485955042963,1
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,2021,deterministic,test,2689,full_permutation,0.0188075276261444,0.9955911349218991,0.1597244219256015,0.019264485955042963,0
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,2021,deterministic,val,2689,index_order,0.9992370280005415,51.863578985763134,0.0,0.019273815485901274,1
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,2021,deterministic,val,2689,full_permutation,0.01576142873094245,0.8370658395203493,0.20127778033838073,0.019273815485901274,0
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,2021,deterministic,test,2689,index_order,0.9980484010974093,51.82659620282591,0.0,0.019264634339472463,1
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,2021,deterministic,test,2689,full_permutation,0.0009241094144844089,0.0672804477452496,0.47317922102671905,0.019264634339472463,0
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,2021,deterministic,val,2689,index_order,0.9991558636655943,51.8673393727504,0.0,0.019270853287690348,1
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,2021,deterministic,val,2689,full_permutation,0.0009511798314518874,0.06866346918955167,0.47262874845474234,0.019270853287690348,0
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,2021,deterministic,test,2689,index_order,0.9974977272580642,51.79724068207042,0.0,0.019264921025281566,1
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,2021,deterministic,test,2689,full_permutation,0.008070010669727791,0.43820758300400126,0.33061790605764385,0.019264921025281566,0
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,2021,deterministic,val,2689,index_order,0.9993115624460437,51.870280662651346,0.0,0.019272762234644688,1
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,2021,deterministic,val,2689,full_permutation,0.027763290489767604,1.459848565387032,0.0721658488868721,0.019272762234644688,0
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,2021,deterministic,test,2689,index_order,0.9972912160383205,51.777974451695115,0.0,0.019268100971747894,1
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,2021,deterministic,test,2689,full_permutation,-0.0044589622826260505,-0.21210904380741874,0.583989017853419,0.019268100971747894,0
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1,DLinear,fredf,336,2021,deterministic,val,2545,index_order,0.9997284491418987,50.473341735699286,0.0,0.019814846739096118,1
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1,DLinear,fredf,336,2021,deterministic,val,2545,full_permutation,-0.018013214508740376,-0.889238911596944,0.8130626527248687,0.019814846739096118,0
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1,DLinear,fredf,336,2021,deterministic,test,2545,index_order,0.9988570289537809,50.43177918772427,0.0,0.019813897641707975,1
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1,DLinear,fredf,336,2021,deterministic,test,2545,full_permutation,-0.01998026925991327,-0.9885580239233813,0.8385602839133033,0.019813897641707975,0
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,2021,shuffled,val,2545,index_order,0.9997281481304047,50.473346895955814,0.0,0.019814838749509317,1
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,2021,shuffled,val,2545,full_permutation,-0.014709008134420998,-0.7224851311883231,0.7650018681605831,0.019814838749509317,0
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,2021,shuffled,val,2545,observed_loader_order,0.0058193912622979994,0.31352629722803727,0.3769404223910398,0.019814838749509317,0
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,2021,shuffled,test,2545,index_order,0.9988568454164948,50.43178164573931,0.0,0.019813893036672477,1
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,2021,shuffled,test,2545,full_permutation,0.004656586486661741,0.25485492620364253,0.3994175752875807,0.019813893036672477,0
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,2022,deterministic,val,2545,index_order,0.9997275915263164,50.473407018994735,0.0,0.01981480411875001,1
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,2022,deterministic,val,2545,full_permutation,0.02990619438633646,1.5291231730457366,0.0631169558236802,0.01981480411875001,0
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,2022,deterministic,test,2545,index_order,0.9988716572754184,50.43249492484425,0.0,0.01981390650067092,1
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,2022,deterministic,test,2545,full_permutation,0.0029255972581180636,0.16749241342246057,0.433491308211641,0.01981390650067092,0
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,val,2545,index_order,0.9997274068400922,50.47340161019115,0.0,0.01981480258305323,1
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,val,2545,full_permutation,-0.009623018774515001,-0.4658101929010734,0.6793243157686151,0.01981480258305323,0
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,val,2545,observed_loader_order,-0.005378227170254943,-0.25158693296859996,0.5993198201029974,0.01981480258305323,0
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,test,2545,index_order,0.9988752302524092,50.43268403478928,0.0,0.019813903049936903,1
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,test,2545,full_permutation,-0.020210426182771676,-1.0001736847010814,0.8413867690318116,0.019813903049936903,0
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,val,2545,index_order,0.9997258432149325,50.47324190064101,0.0,0.019814834302593853,1
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,val,2545,full_permutation,-0.015983038853805292,-0.786782107522252,0.7842952853409801,0.019814834302593853,0
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,test,2545,index_order,0.9988704776954959,50.432507252216425,0.0,0.019813878268219277,1
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,test,2545,full_permutation,0.0038852603060598686,0.2159265343791104,0.41452250675539093,0.019813878268219277,0
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,index_order,0.9997258940612421,50.47327234377635,0.0,0.019814823358596224,1
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,full_permutation,0.009600007341887993,0.504323905494671,0.30701689064299686,0.019814823358596224,0
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,observed_loader_order,-0.00013673734651839864,0.012937002255772384,0.49483902678085606,0.019814823358596224,0
