cell_id,split,n,kurtosis,n_perm,alpha,n_reject,fpr_empirical,ratio_to_nominal,max_z_observed
DLinear_ILI_h60_revin_s2021_det,val,38,2.117141490062947,500000,0.01,4610,0.00922,0.922,4.553638767140666
DLinear_ILI_h60_revin_s2021_det,val,38,2.117141490062947,500000,0.001,351,0.000702,0.7020000000000001,4.553638767140666
DLinear_ILI_h60_revin_s2021_det,val,38,2.117141490062947,500000,0.0001,15,3e-05,0.3,4.553638767140666
DLinear_ILI_h60_revin_s2021_det,val,38,2.117141490062947,500000,1e-05,1,2e-06,0.19999999999999998,4.553638767140666
DLinear_ILI_h60_revin_s2021_det,val,38,2.117141490062947,500000,1e-06,0,0.0,0.0,4.553638767140666
DLinear_ETTh2_h336_fredf_s2022_shuf,val,2545,8.890320985607849,500000,0.01,6304,0.012608,1.2608,5.592304016663337
DLinear_ETTh2_h336_fredf_s2022_shuf,val,2545,8.890320985607849,500000,0.001,885,0.00177,1.77,5.592304016663337
DLinear_ETTh2_h336_fredf_s2022_shuf,val,2545,8.890320985607849,500000,0.0001,115,0.00023,2.3,5.592304016663337
DLinear_ETTh2_h336_fredf_s2022_shuf,val,2545,8.890320985607849,500000,1e-05,14,2.8e-05,2.8,5.592304016663337
DLinear_ETTh2_h336_fredf_s2022_shuf,val,2545,8.890320985607849,500000,1e-06,3,6e-06,6.0,5.592304016663337
DLinear_ETTh1_h96_none_s2021_shuf,val,2785,10.635774545582047,500000,0.01,6061,0.012122,1.2122000000000002,5.450333859184064
DLinear_ETTh1_h96_none_s2021_shuf,val,2785,10.635774545582047,500000,0.001,758,0.001516,1.516,5.450333859184064
DLinear_ETTh1_h96_none_s2021_shuf,val,2785,10.635774545582047,500000,0.0001,109,0.000218,2.18,5.450333859184064
DLinear_ETTh1_h96_none_s2021_shuf,val,2785,10.635774545582047,500000,1e-05,13,2.6e-05,2.5999999999999996,5.450333859184064
DLinear_ETTh1_h96_none_s2021_shuf,val,2785,10.635774545582047,500000,1e-06,5,1e-05,10.000000000000002,5.450333859184064
PatchTST_ETTm2_h336_none_s2021_det,val,11185,6.733246051214803,500000,0.01,5361,0.010722,1.0722,4.913253932718534
PatchTST_ETTm2_h336_none_s2021_det,val,11185,6.733246051214803,500000,0.001,570,0.00114,1.14,4.913253932718534
PatchTST_ETTm2_h336_none_s2021_det,val,11185,6.733246051214803,500000,0.0001,67,0.000134,1.34,4.913253932718534
PatchTST_ETTm2_h336_none_s2021_det,val,11185,6.733246051214803,500000,1e-05,10,2e-05,2.0,4.913253932718534
PatchTST_ETTm2_h336_none_s2021_det,val,11185,6.733246051214803,500000,1e-06,1,2e-06,2.0,4.913253932718534
PatchTST_ETTm2_h96_none_s2021_det,val,11425,14.112946275309831,500000,0.01,5821,0.011642,1.1642,5.323967043562828
PatchTST_ETTm2_h96_none_s2021_det,val,11425,14.112946275309831,500000,0.001,736,0.001472,1.472,5.323967043562828
PatchTST_ETTm2_h96_none_s2021_det,val,11425,14.112946275309831,500000,0.0001,86,0.000172,1.72,5.323967043562828
PatchTST_ETTm2_h96_none_s2021_det,val,11425,14.112946275309831,500000,1e-05,9,1.8e-05,1.7999999999999998,5.323967043562828
PatchTST_ETTm2_h96_none_s2021_det,val,11425,14.112946275309831,500000,1e-06,1,2e-06,2.0,5.323967043562828
