cell_id,status,reason,n_arrays,n_sidecars_planned,applied
DLinear_ETTh1_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h336_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh1_h96_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
