block_id,seed,n_arms,n_windows,arms,n_pairs,n_pairs_identical,spearman_perm_mean,spearman_perm_max,spearman_perm_min,spearman_perm_max_nonidentical,n_distinct_perms,perm_sharing,n_arms_misordered,perm_consistent,cat_rho_bar,cat_p_mc,cat_certified,cat_p_analytic,cat_rho_bar_intact,cat_p_mc_intact,cat_certified_intact,aot_p_min,aot_p_max,aot_p_median,n_arms_aot_rejects,n_arms_aot
ETTh1_h336_DLinear,2021,4,2545,fredf|none|revin|san_lite,6,3,0.48143463565789263,0.9999999999999999,-0.03713072868421474,-0.03713072868421474,2,partial_shared,4,1,0.4824092857765758,0.0004997501249375312,1,0.0,0.9755452794976435,0.0004997501249375312,1,0.024517036334944432,0.5887938223070415,0.4394246177466389,1,4
ETTh1_h336_DLinear,2022,4,2545,fredf|none|revin|san_lite,6,3,0.49531260205334493,0.9999999999999999,-0.009374795893310063,-0.009374795893310063,2,partial_shared,4,1,0.49397274333853364,0.0004997501249375312,1,0.0,0.9758315344719288,0.0004997501249375312,1,0.5279870255558111,0.6746744905979553,0.6033983347881017,0,4
ETTh1_h336_DLinear,2023,4,2545,fredf|none|revin|san_lite,6,3,0.5021947025456295,0.9999999999999999,0.004389405091259112,0.004389405091259112,2,partial_shared,4,1,0.4942197499241619,0.0004997501249375312,1,0.0,0.9759556961294334,0.0004997501249375312,1,0.49483902678085606,0.7892605684349681,0.5929343815166424,0,4
ETTh1_h96_DLinear,2021,4,2785,fredf|none|revin|san_lite,6,3,0.49602483668708347,0.9999999999999999,-0.007950326625832862,-0.007950326625832862,2,partial_shared,4,1,0.4850532287436025,0.0004997501249375312,1,0.0,0.9877880230461855,0.0004997501249375312,1,0.5572304963823498,0.8706336755562478,0.6035796342568298,0,4
ETTh1_h96_DLinear,2022,4,2785,fredf|none|revin|san_lite,6,6,0.9999999999999999,0.9999999999999999,0.9999999999999999,,1,all_identical,4,1,0.98811209604564,0.0004997501249375312,1,0.0,0.98811209604564,0.0004997501249375312,1,0.3244653040330657,0.45240800329855924,0.3740261209351218,0,4
ETTh1_h96_DLinear,2023,4,2785,fredf|none|revin|san_lite,6,3,0.5159176593427822,0.9999999999999999,0.03183531868556462,0.03183531868556462,2,partial_shared,4,1,0.4984816381324688,0.0004997501249375312,1,0.0,0.9880535156517406,0.0004997501249375312,1,0.5625345830995824,0.991262171199174,0.9871599952298025,0,4
ETTh2_h336_DLinear,2021,4,2545,fredf|none|revin|san_lite,6,3,0.5123052176097989,0.9999999999999999,0.024610435219597753,0.024610435219597753,2,partial_shared,4,1,0.41347747430887355,0.0004997501249375312,1,0.0,0.7114305860161562,0.0004997501249375312,1,0.27895460366337643,0.7962954861391959,0.7667310712410257,0,4
ETTh2_h336_DLinear,2022,4,2545,fredf|none|revin|san_lite,6,3,0.506090019119892,0.9999999999999999,0.012180038239784195,0.012180038239784195,2,partial_shared,4,1,0.42428726865979344,0.0004997501249375312,1,0.0,0.7193298546394923,0.0004997501249375312,1,0.3563235863946889,0.4603911148779064,0.43773685734822765,0,4
ETTh2_h336_DLinear,2023,4,2545,fredf|none|revin|san_lite,6,6,0.9999999999999999,0.9999999999999999,0.9999999999999999,,1,all_identical,4,1,0.6921996532769312,0.0004997501249375312,1,0.0,0.6921996532769312,0.0004997501249375312,1,0.5155696962907516,0.5760815888215779,0.5589498733824259,0,4
ETTh2_h96_DLinear,2021,4,2785,fredf|none|revin|san_lite,6,3,0.4980958580456118,0.9999999999999999,-0.0038082839087763107,-0.0038082839087763107,2,partial_shared,4,1,0.4778284383529972,0.0004997501249375312,1,0.0,0.9149854984920441,0.0004997501249375312,1,0.004116333884606304,0.799577345029816,0.006452099518470759,3,4
ETTh2_h96_DLinear,2022,4,2785,fredf|none|revin|san_lite,6,3,0.49333042910869046,0.9999999999999999,-0.013339141782618996,-0.013339141782618996,2,partial_shared,4,1,0.48954487502965865,0.0004997501249375312,1,0.0,0.8932217652279144,0.0004997501249375312,1,0.04341596515710249,0.29905405611652475,0.18422689651258142,1,4
ETTh2_h96_DLinear,2023,4,2785,fredf|none|revin|san_lite,6,3,0.5112202125502235,0.9999999999999999,0.022440425100447182,0.022440425100447182,2,partial_shared,4,1,0.4905200206850078,0.0004997501249375312,1,0.0,0.9099065449331124,0.0004997501249375312,1,0.5924915604623341,0.7163839243576463,0.6920305164262142,0,4
ETTm1_h336_DLinear,2021,4,11185,fredf|none|revin|san_lite,6,0,0.004643693767842919,0.02191076088505057,-0.005366667012178851,0.02191076088505057,4,all_distinct,4,1,3.981171907221509e-06,0.5012493753123438,0,0.4995885707878477,0.9750220388229889,0.0004997501249375312,1,0.1722653001430957,0.8537738793838203,0.4172767595461977,0,4
ETTm1_h336_DLinear,2022,4,11185,fredf|none|revin|san_lite,6,1,0.17330258931552275,1.0,-0.0016516829569063287,0.022048665903452818,3,partial_shared,4,1,0.16403720765070787,0.0004997501249375312,1,0.0,0.9757026221729724,0.0004997501249375312,1,0.38597258594727946,0.7318996469172064,0.5917987063795288,0,4
ETTm1_h336_DLinear,2023,4,11185,fredf|none|revin|san_lite,6,2,0.3368441238963449,1.0,0.005266185844517167,0.005266185844517167,2,partial_shared,4,1,0.3240208971450667,0.0004997501249375312,1,0.0,0.9752753422954775,0.0004997501249375312,1,0.38060064129967025,0.7746035991322539,0.6229883287024978,0,4
ETTm1_h96_DLinear,2021,4,11425,fredf|none|revin|san_lite,6,2,0.33074254391195623,0.9999999999999999,-0.0038861841320655746,-0.0038861841320655746,2,partial_shared,4,1,0.3171553936754113,0.0004997501249375312,1,0.0,0.9635741753975431,0.0004997501249375312,1,0.21083075587300215,0.36284175107220706,0.2885258622089685,0,4
ETTm1_h96_DLinear,2022,4,11425,fredf|none|revin|san_lite,6,1,0.16234841903201977,0.9999999999999999,-0.011975922370858838,0.003157785648186082,3,partial_shared,4,1,0.14405773389622745,0.0004997501249375312,1,0.0,0.9653578107133658,0.0004997501249375312,1,0.006909118385408881,0.8200927838632834,0.29758507116180766,1,4
ETTm1_h96_DLinear,2023,4,11425,fredf|none|revin|san_lite,6,1,0.17868621950348787,0.9999999999999999,0.0018851773586886884,0.023001275042322803,3,partial_shared,4,1,0.1585069703264778,0.0004997501249375312,1,0.0,0.9650506706633605,0.0004997501249375312,1,0.21335363197921614,0.998673632189358,0.9372464860396132,0,4
ETTm2_h336_DLinear,2021,4,11185,fredf|none|revin|san_lite,6,1,0.17109391216813818,1.0,-0.00438581124330258,0.012051658258268028,3,partial_shared,4,1,0.15612478038149913,0.0004997501249375312,1,0.0,0.8602735034806589,0.0004997501249375312,1,0.3264105596616782,0.6156637613799746,0.4158621449708587,0,4
ETTm2_h336_DLinear,2022,4,11185,fredf|none|revin|san_lite,6,0,9.341528658427386e-05,0.008956916987297704,-0.01622314919038632,0.008956916987297704,4,all_distinct,4,1,-0.000456801702653676,0.5557221389305347,0,0.5470976674901012,0.8742627294948386,0.0004997501249375312,1,0.07388078953754053,0.9450195545987917,0.5064755710965996,0,4
ETTm2_h336_DLinear,2023,4,11185,fredf|none|revin|san_lite,6,1,0.16921045003520505,1.0,0.0006218737248393476,0.005266185844517167,3,partial_shared,4,1,0.14536902705372756,0.0004997501249375312,1,1.2550616953991e-310,0.8609231708791135,0.0004997501249375312,1,0.009347936678841326,0.7540793581702803,0.36855075451098745,2,4
ETTm2_h96_DLinear,2021,4,11425,fredf|none|revin|san_lite,6,1,0.16507650025413265,0.9999999999999999,-0.01840623724904972,0.005759575284024438,3,partial_shared,4,1,0.16980301480695634,0.0004997501249375312,1,0.0,0.9278753341988578,0.0004997501249375312,1,0.05902216187161603,0.5702788179307955,0.2122944714034434,0,4
ETTm2_h96_DLinear,2022,4,11425,fredf|none|revin|san_lite,6,3,0.5020222680090792,0.9999999999999999,0.004044536018158468,0.004044536018158468,2,partial_shared,4,1,0.46193271291325316,0.0004997501249375312,1,0.0,0.9382428337239183,0.0004997501249375312,1,0.03412413778268094,0.7972700982124551,0.07350190225377401,1,4
ETTm2_h96_DLinear,2023,4,11425,fredf|none|revin|san_lite,6,1,0.16989487817697582,0.9999999999999999,-0.0006688412635152087,0.008393074904075067,3,partial_shared,4,1,0.15371608852273735,0.0004997501249375312,1,0.0,0.9230454724337486,0.0004997501249375312,1,0.18101021388048377,0.9827217834617256,0.6606000235101191,0,4
