cluster_def,statistic,point,ci_lo,ci_hi,boot_median,n_clusters,n_cells,n_boot
sample_set,index_median_rho,0.2192168881156128,0.10493431870162243,0.27310069642968715,0.2192168881156128,28,356,4000
sample_set,defect_minus_index_median,-0.2217279221549615,-0.27190437052196753,-0.11104190844231882,-0.2210162482291444,28,356,4000
sample_set,control_minus_index_median,-0.21758690715292173,-0.2714927230932893,-0.11408597499306421,-0.21758690715292173,28,356,4000
sample_set,defect_minus_control_median,-0.0005260565295644266,-0.0028110808851109738,0.0008677268384959008,-0.0005260565295644266,28,356,4000
sample_set,index_frac_p_block_lt_05,0.34269662921348315,0.10052989130434783,0.5793045335721547,0.3362257190182202,28,356,4000
sample_set,index_frac_ci_excludes_zero,0.32865168539325845,0.1113678251711427,0.5514847285067874,0.3258385491895362,28,356,4000
sample_set,index_frac_p_iid_lt_05,0.8932584269662921,0.7987750043867345,0.9564105504587156,0.8950276243093923,28,356,4000
dataset,index_median_rho,0.2192168881156128,0.08714094569657371,0.2812442997633257,0.21881460120289964,7,356,4000
dataset,defect_minus_index_median,-0.2217279221549615,-0.2835970123950668,-0.06776903890549461,-0.22067314123381665,7,356,4000
dataset,control_minus_index_median,-0.21758690715292173,-0.28328622684635807,-0.08658838236624335,-0.2146984942292418,7,356,4000
dataset,defect_minus_control_median,-0.0005260565295644266,-0.0019070462426737447,0.00046500694407424647,-0.0005260565295644266,7,356,4000
dataset,index_frac_p_block_lt_05,0.34269662921348315,0.08426966292134831,0.6067415730337079,0.33707865168539325,7,356,4000
dataset,index_frac_ci_excludes_zero,0.32865168539325845,0.09164621544820464,0.5308988764044944,0.32846725683804334,7,356,4000
dataset,index_frac_p_iid_lt_05,0.8932584269662921,0.7318840579710145,0.9797979797979798,0.8939393939393939,7,356,4000
