cell_id,dataset,backbone,plugin,pred_len,seq_len,seed,val_order,condition,n,assoc_rho_fstd,assoc_rho_ci_lo,assoc_rho_ci_hi,assoc_rho_ci_excludes_zero,assoc_p_block,assoc_p_boot_2sided,assoc_p_iid_naive,block_len,block_len_requested,block_len_cover,block_len_floor,block_len_capped,n_blocks,n_boot,n_perm,assoc_p_fstd,boot_rho_mean
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,96,2021,deterministic,index,2689,0.2965901221356377,-0.14105558035003735,0.49510151240917133,0.0,0.10344827586206896,0.164,2.335578143312843e-53,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,2.335578143312843e-53,0.23722743730523818
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,96,2021,deterministic,defect,2689,-0.0246663097004041,-0.06346422897375646,0.026914141428860356,0.0,0.1889055472263868,0.334,0.20095070788120062,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.20095070788120062,-0.022680643333587703
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1,DLinear,fredf,192,96,2021,deterministic,control,2689,0.02598747513275205,-0.0020029260405019108,0.05286311874146581,0.0,0.1904047976011994,0.07,0.17786924135486148,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.17786924135486148,0.025780636442569928
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,96,2021,deterministic,index,2689,0.2746246164305732,-0.11694684056701504,0.4797079159498533,0.0,0.13193403298350825,0.152,5.310136210924639e-46,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,5.310136210924639e-46,0.2289871375400403
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,96,2021,deterministic,defect,2689,-0.03039691737442696,-0.060753130502177476,-0.0017374820313041533,1.0,0.14142928535732133,0.04,0.11503587089581015,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.11503587089581015,-0.029580792350631397
DLinear_ETTh1_h192_none_s2021_det,ETTh1,DLinear,none,192,96,2021,deterministic,control,2689,-0.016844007408116222,-0.041520867041694026,0.006972571392116194,0.0,0.3248375812093953,0.19,0.38250331071515864,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.38250331071515864,-0.01605422592427995
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,96,2021,deterministic,index,2689,0.27412250868341687,-0.10504933497705024,0.48016280288194807,0.0,0.13943028485757122,0.145,7.704021089483299e-46,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,7.704021089483299e-46,0.21832248772245963
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,96,2021,deterministic,defect,2689,-0.004561384133782387,-0.04894948691598265,0.03907921036749143,0.0,0.8160919540229885,0.871,0.8130531004681669,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.8130531004681669,-0.0032071630473803955
DLinear_ETTh1_h192_revin_s2021_det,ETTh1,DLinear,revin,192,96,2021,deterministic,control,2689,0.0225450677826917,-0.01998763121118286,0.060649026201297924,0.0,0.31284357821089454,0.313,0.24245604971970525,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.24245604971970525,0.020831202403349187
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,96,2021,deterministic,index,2689,0.3079238752390445,-0.0866693749503842,0.5066939324641629,0.0,0.08195902048975512,0.138,2.2548865378652027e-57,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,2.2548865378652027e-57,0.2534042582991009
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1,DLinear,san_lite,192,96,2021,deterministic,defect,2689,-0.027053887669459195,-0.06345925800362578,0.014744205977723666,0.0,0.20439780109945027,0.239,0.16072605328636302,288.0,288.0,288.0,14.0,0.0,10.0,2000,2000,0.16072605328636302,-0.02513599191735658
