dataset,pred_len,split,n
ETTh1,96,val,2785
ETTh1,96,test,2785
ETTh1,192,val,2689
ETTh1,192,test,2689
ETTh1,336,val,2545
ETTh1,336,test,2545
ETTh1,720,val,2161
ETTh1,720,test,2161
ETTh2,96,val,2785
ETTh2,96,test,2785
ETTh2,192,val,2689
ETTh2,192,test,2689
ETTh2,336,val,2545
ETTh2,336,test,2545
ETTh2,720,val,2161
ETTh2,720,test,2161
ETTm1,96,val,11425
ETTm1,96,test,11425
ETTm1,192,val,11329
ETTm1,192,test,11329
ETTm1,336,val,11185
ETTm1,336,test,11185
ETTm1,720,val,10801
ETTm1,720,test,10801
ETTm2,96,val,11425
ETTm2,96,test,11425
ETTm2,192,val,11329
ETTm2,192,test,11329
ETTm2,336,val,11185
ETTm2,336,test,11185
ETTm2,720,val,10801
ETTm2,720,test,10801
Weather,96,val,5175
Weather,96,test,10444
Weather,192,val,5079
Weather,192,test,10348
Weather,336,val,4935
Weather,336,test,10204
Weather,720,val,4551
Weather,720,test,9820
Exchange,96,val,665
Exchange,96,test,1422
Exchange,192,val,569
Exchange,192,test,1326
Exchange,336,val,425
Exchange,336,test,1182
Exchange,720,val,41
Exchange,720,test,798
ILI,24,val,74
ILI,24,test,170
ILI,36,val,62
ILI,36,test,158
ILI,48,val,50
ILI,48,test,146
ILI,60,val,38
ILI,60,test,134
